epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,1748.36,0.22699,0.19545,0.77339,0.45053,0.68812,0.43662,0.33306,0.90875,2.77405,1.06528,7.23862e-05,7.23862e-05,7.23862e-05
119,1762.39,0.21071,0.18286,0.77343,0.46671,0.71771,0.45528,0.35691,0.83804,2.74755,1.02557,7.15348e-05,7.15348e-05,7.15348e-05
120,1775.25,0.21596,0.1873,0.77342,0.45373,0.75655,0.46156,0.36727,0.82127,2.85965,1.01326,7.06834e-05,7.06834e-05,7.06834e-05
121,1787.85,0.21552,0.18618,0.77111,0.45539,0.74717,0.47137,0.38146,0.78732,2.77857,1.0015,6.9832e-05,6.9832e-05,6.9832e-05
122,1809.09,0.21465,0.1847,0.77313,0.4344,0.78286,0.44742,0.36666,0.74809,2.70039,0.97501,6.89806e-05,6.89806e-05,6.89806e-05
123,1825.07,0.22431,0.18491,0.76773,0.47346,0.75061,0.45716,0.37172,0.77566,2.69162,0.99097,6.81292e-05,6.81292e-05,6.81292e-05
124,1839.31,0.21317,0.18339,0.77442,0.41032,0.76673,0.46924,0.37978,0.77957,2.88612,0.99302,6.72778e-05,6.72778e-05,6.72778e-05
125,1852.98,0.21395,0.18155,0.77305,0.40911,0.75675,0.47914,0.38411,0.77495,2.8067,0.99687,6.64264e-05,6.64264e-05,6.64264e-05
126,1865.63,0.22055,0.18533,0.76966,0.41855,0.7726,0.47884,0.38132,0.81284,2.77852,1.00679,6.5575e-05,6.5575e-05,6.5575e-05
127,1878,0.21892,0.18328,0.77044,0.38114,0.86036,0.4833,0.38853,0.79659,2.82144,0.99185,6.47236e-05,6.47236e-05,6.47236e-05
128,1890.76,0.22076,0.18942,0.77061,0.37097,0.86135,0.49372,0.38905,0.84385,2.73742,1.01623,6.38722e-05,6.38722e-05,6.38722e-05
129,1906.68,0.21674,0.18552,0.76981,0.36437,0.8584,0.48837,0.38396,0.85121,2.81188,1.02808,6.30208e-05,6.30208e-05,6.30208e-05
130,1919.26,0.20688,0.17927,0.76791,0.39107,0.84066,0.48298,0.37541,0.88074,2.75081,1.05228,6.21694e-05,6.21694e-05,6.21694e-05
131,1932.05,0.20964,0.17901,0.77174,0.34672,0.83256,0.48665,0.37045,0.91697,2.88503,1.08208,6.1318e-05,6.1318e-05,6.1318e-05
132,1944.93,0.20775,0.17446,0.7714,0.44948,0.76923,0.48731,0.37983,0.85638,2.84575,1.02788,6.04666e-05,6.04666e-05,6.04666e-05
133,1957.49,0.21498,0.18142,0.77058,0.45452,0.76977,0.47593,0.36582,0.86634,2.68084,1.03678,5.96152e-05,5.96152e-05,5.96152e-05
134,1970.08,0.21215,0.17884,0.77033,0.37816,0.84584,0.48701,0.37106,0.87643,2.69166,1.05227,5.87638e-05,5.87638e-05,5.87638e-05
135,1985.73,0.21633,0.17826,0.77001,0.38761,0.82246,0.4655,0.36884,0.82598,2.69638,1.02861,5.79124e-05,5.79124e-05,5.79124e-05
136,1998.62,0.21696,0.1832,0.77206,0.37864,0.83405,0.46497,0.37217,0.80336,2.71613,1.00575,5.7061e-05,5.7061e-05,5.7061e-05
137,2015.23,0.21459,0.17975,0.77151,0.38523,0.82961,0.46366,0.37502,0.78642,2.82447,0.99795,5.62096e-05,5.62096e-05,5.62096e-05
138,2028.07,0.20462,0.17234,0.76925,0.38058,0.83024,0.46789,0.37431,0.83168,2.86636,1.02208,5.53582e-05,5.53582e-05,5.53582e-05
139,2040.77,0.21259,0.1772,0.76716,0.37328,0.83188,0.46051,0.37069,0.82732,2.86067,1.0331,5.45068e-05,5.45068e-05,5.45068e-05
140,2053.44,0.21431,0.17664,0.77173,0.40075,0.79733,0.45273,0.36032,0.84868,3.01618,1.04639,5.36554e-05,5.36554e-05,5.36554e-05
141,2069.17,0.21205,0.17573,0.76986,0.34295,0.8631,0.46681,0.36275,0.84228,2.82716,1.03708,5.2804e-05,5.2804e-05,5.2804e-05
142,2082,0.20773,0.17607,0.77305,0.36648,0.85743,0.46584,0.36065,0.85272,2.78896,1.04714,5.19526e-05,5.19526e-05,5.19526e-05
143,2094.65,0.21003,0.17495,0.7686,0.36103,0.85744,0.47788,0.37343,0.8554,2.83534,1.05024,5.11012e-05,5.11012e-05,5.11012e-05
144,2107.28,0.19827,0.17449,0.77099,0.40037,0.87524,0.47892,0.37775,0.80711,2.95264,1.00771,5.02498e-05,5.02498e-05,5.02498e-05
145,2119.84,0.20241,0.17524,0.77255,0.35813,0.88399,0.4786,0.37909,0.81734,2.80657,1.01957,4.93984e-05,4.93984e-05,4.93984e-05
146,2132.52,0.21548,0.18591,0.77114,0.3523,0.88802,0.48045,0.37753,0.88147,2.85354,1.06297,4.8547e-05,4.8547e-05,4.8547e-05
147,2145.06,0.20484,0.1746,0.76783,0.36287,0.88049,0.48181,0.37013,0.91409,2.85802,1.09207,4.76956e-05,4.76956e-05,4.76956e-05
148,2165,0.20359,0.17385,0.77171,0.36228,0.88797,0.48278,0.37063,0.8784,2.8336,1.0628,4.68442e-05,4.68442e-05,4.68442e-05
149,2177.72,0.20254,0.17063,0.76962,0.3828,0.86286,0.48099,0.37405,0.8554,2.85919,1.04581,4.59928e-05,4.59928e-05,4.59928e-05
